Date,Ticker,Shares,Buy Price,Cost Basis,Stop Loss,Current Price,Total Value,PnL,Action,Cash Balance,Total Equity
2025-10-30,MIST,184.0,1.865,343.16,0.0,1.84,338.56,-4.6,HOLD,,
2025-10-30,ATRA,22.0,14.57,320.54,0.0,14.06,309.32,-11.22,HOLD,,
2025-10-30,TOTAL,,,,,,647.88,-15.82,,38.3,686.18
2025-10-31,MIST,184.0,1.865,343.16,0.0,1.88,345.92,2.76,HOLD,,
2025-10-31,ATRA,22.0,14.57,320.54,0.0,14.05,309.1,-11.44,HOLD,,
2025-10-31,TOTAL,,,,,,655.02,-8.68,,38.3,693.32
2025-11-03,MIST,184.0,1.865,343.16,0.0,1.89,347.76,4.6,HOLD,,
2025-11-03,ATRA,22.0,14.57,320.54,0.0,13.99,307.78,-12.76,HOLD,,
2025-11-03,TOTAL,,,,,,655.54,-8.16,,38.3,693.84
2025-11-04,MIST,184.0,1.865,343.16,0.0,1.85,340.4,-2.76,HOLD,,
2025-11-04,ATRA,22.0,14.57,320.54,0.0,13.85,304.7,-15.84,HOLD,,
2025-11-04,TOTAL,,,,,,645.1,-18.6,,38.3,683.4
2025-11-05,MIST,184.0,1.865,343.16,0.0,1.84,338.56,-4.6,HOLD,,
2025-11-05,ATRA,22.0,14.57,320.54,0.0,12.29,270.38,-50.16,HOLD,,
2025-11-05,TOTAL,,,,,,608.94,-54.76,,38.3,647.24
2025-11-06,MIST,184,1.865,343.16,0.0,1.8,331.2,-11.96,HOLD,,
2025-11-06,TOTAL,,,,,,331.2,-11.96,,311.1,642.3
